config,fusion_on,kalman_on,xai_adaptive,scenario,MOTA_mean,MOTA_std,MOTP_IoU_mean,MOTP_IoU_std,IDF1_mean,IDF1_std,IDSW_mean,IDSW_std,FP_mean,FP_std,FN_mean,FN_std
fu0_ka0_xa0,False,False,False,low_snr,0.014722302551249927,0.5196225620394478,0.7197790634084574,0.01516867254053288,0.44487980651078446,0.2794820790483275,0.0,0.0,43.8,40.819113170180465,78.0,70.32780389006896
fu0_ka0_xa0,False,False,False,multi_threat,0.11999441957679693,0.4881602132092166,0.7412156567205923,0.07122417773518815,0.4543094186924767,0.2922794022131336,0.0,0.0,93.8,88.88025652528238,228.4,151.11187908301585
fu0_ka0_xa0,False,False,False,sensor_dropout,-0.0288297244295474,0.49124097012878304,0.7290682131141869,0.027125605556526662,0.36770976788709153,0.27797123965364556,0.0,0.0,50.6,47.621423750240815,141.8,150.99072819216417
fu0_ka0_xa0,False,False,False,single_threat,0.3042555649877382,0.6334360862803173,0.7321149811129148,0.02997361854843424,0.5987947168023682,0.3389227562990961,0.0,0.0,11.8,17.81010948871455,38.8,34.25200724045235
fu0_ka0_xa1,False,False,True,low_snr,0.021428595054756056,0.5399040051492745,0.724579883559507,0.023935135678936046,0.4671357129807794,0.2870301274737973,0.0,0.0,48.2,44.53313373208761,72.2,64.88605397155848
fu0_ka0_xa1,False,False,True,multi_threat,0.08984175474761882,0.5033593533571852,0.7384067137760855,0.07054716914514506,0.47000009598373776,0.2834125296505963,0.0,0.0,119.6,99.0595780326163,218.4,146.93978358497742
fu0_ka0_xa1,False,False,True,sensor_dropout,-0.036288554046406296,0.5211020857748443,0.7214992381418124,0.01982863473789312,0.3993199640367913,0.2856031110196415,0.0,0.0,64.4,64.80200614178545,131.2,140.2665320024702
fu0_ka0_xa1,False,False,True,single_threat,0.34719038860592344,0.6619898830027198,0.7352758247341661,0.03683277883621141,0.6410187532630606,0.34956596430500486,0.0,0.0,13.2,17.739785793520735,32.2,26.92953768633988
fu0_ka1_xa0,False,True,False,low_snr,0.5851138026060627,0.18104811006310323,0.7994394444235118,0.07694804645577705,0.7609760247027322,0.11975186148564297,0.0,0.0,12.4,13.575713609236164,46.6,49.972992706060744
fu0_ka1_xa0,False,True,False,multi_threat,0.5432710932179151,0.21713963522536345,0.8281582571662481,0.09166348200286677,0.705693235577594,0.17176171735014925,0.0,0.0,18.6,15.836666315863324,153.2,112.93670793856177
