config,fusion_on,kalman_on,xai_adaptive,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
fu0_ka0_xa0,False,False,False,single_threat,0,0.3933333333333333,0.769977385551502,0.5687203791469194,0,1,90
fu0_ka0_xa1,False,False,True,single_threat,0,0.5333333333333333,0.7848314934235109,0.7033898305084746,0,3,67
fu0_ka1_xa0,False,True,False,single_threat,0,0.3933333333333333,0.921505896493919,0.5687203791469194,0,1,90
fu0_ka1_xa1,False,True,True,single_threat,0,0.5333333333333333,0.927095624959254,0.7033898305084746,0,3,67
fu1_ka0_xa0,True,False,False,single_threat,0,0.9533333333333334,0.7800265752299188,0.976271186440678,0,1,6
fu1_ka0_xa1,True,False,True,single_threat,0,0.94,0.7800265752299188,0.9696969696969697,0,3,6
fu1_ka1_xa0,True,True,False,single_threat,0,0.9533333333333334,0.92538453540902,0.976271186440678,0,1,6
fu1_ka1_xa1,True,True,True,single_threat,0,0.94,0.92538453540902,0.9696969696969697,0,3,6
fu0_ka0_xa0,False,False,False,multi_threat,0,-0.015463917525773141,0.7648998771210967,0.26492537313432835,0,77,317
fu0_ka0_xa1,False,False,True,multi_threat,0,0.0,0.7482751979585749,0.3511705685618729,0,105,283
fu0_ka1_xa0,False,True,False,multi_threat,0,0.25773195876288657,0.8038311468681409,0.4626865671641791,0,24,264
fu0_ka1_xa1,False,True,True,multi_threat,0,0.38144329896907214,0.8022747690438226,0.5986622073578596,0,31,209
fu1_ka0_xa0,True,False,False,multi_threat,0,-0.04381443298969079,0.7591511307384499,0.46780551905387646,0,195,210
fu1_ka0_xa1,True,False,True,multi_threat,0,-0.09536082474226815,0.7743187784133158,0.4444444444444444,0,207,218
fu1_ka1_xa0,True,True,False,multi_threat,0,0.6675257731958764,0.8001176486347836,0.8304862023653088,0,57,72
fu1_ka1_xa1,True,True,True,multi_threat,0,0.6520618556701031,0.795437054974359,0.8235294117647058,0,62,73
fu0_ka0_xa0,False,False,False,sensor_dropout,0,-0.015463917525773141,0.7648998771210967,0.26492537313432835,0,77,317
fu0_ka0_xa1,False,False,True,sensor_dropout,0,0.0,0.7482751979585749,0.3511705685618729,0,105,283
fu0_ka1_xa0,False,True,False,sensor_dropout,0,0.25773195876288657,0.8038311468681409,0.4626865671641791,0,24,264
fu0_ka1_xa1,False,True,True,sensor_dropout,0,0.38144329896907214,0.8022747690438226,0.5986622073578596,0,31,209
fu1_ka0_xa0,True,False,False,sensor_dropout,0,-0.054123711340206215,0.771578181055398,0.40638606676342526,0,161,248
fu1_ka0_xa1,True,False,True,sensor_dropout,0,-0.0670103092783505,0.7668432256856532,0.41853932584269665,0,175,239
fu1_ka1_xa0,True,True,False,sensor_dropout,0,0.538659793814433,0.797288263479201,0.7402031930333817,0,46,133
fu1_ka1_xa1,True,True,True,sensor_dropout,0,0.5567010309278351,0.796163591191531,0.7584269662921348,0,54,118
fu0_ka0_xa0,False,False,False,low_snr,0,0.0714285714285714,0.737884887756826,0.4075067024128686,0,59,162
fu0_ka0_xa1,False,False,True,low_snr,0,0.10084033613445376,0.7574139877319536,0.46766169154228854,0,70,144
fu0_ka1_xa0,False,True,False,low_snr,0,0.39915966386554624,0.8195831999992147,0.6166219839142091,0,20,123
fu0_ka1_xa1,False,True,True,low_snr,0,0.5546218487394958,0.8178561564962764,0.736318407960199,0,16,90
fu1_ka0_xa0,True,False,False,low_snr,0,0.31512605042016806,0.7817250177185511,0.6509635974304069,0,77,86
fu1_ka0_xa1,True,False,True,low_snr,0,0.32773109243697474,0.7818223340828543,0.6595744680851063,0,77,83
fu1_ka1_xa0,True,True,False,low_snr,0,0.7857142857142857,0.8511427326232721,0.8907922912205567,0,21,30
fu1_ka1_xa1,True,True,True,low_snr,0,0.7647058823529411,0.8549856254226265,0.8808510638297873,0,25,31
fu0_ka0_xa0,False,False,False,single_threat,1,0.6527777777777778,0.7164805173300077,0.8120300751879699,0,14,36
fu0_ka0_xa1,False,False,True,single_threat,1,0.6805555555555556,0.714107410485391,0.8321167883211679,0,16,30
fu0_ka1_xa0,False,True,False,single_threat,1,0.8333333333333334,0.8868501843958271,0.9097744360902256,0,1,23
fu0_ka1_xa1,False,True,True,single_threat,1,0.875,0.8860436823916288,0.9343065693430657,0,2,16
fu1_ka0_xa0,True,False,False,single_threat,1,0.75,0.7160025216419302,0.8714285714285714,0,14,22
fu1_ka0_xa1,True,False,True,single_threat,1,0.75,0.714750942559245,0.8732394366197183,0,16,20
fu1_ka1_xa0,True,True,False,single_threat,1,0.9444444444444444,0.8872431366235265,0.9714285714285714,0,0,8
fu1_ka1_xa1,True,True,True,single_threat,1,0.9305555555555556,0.8869521510958781,0.9647887323943662,0,3,7
