tracker,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
Celik-Kubbe,single_threat,0,0.9533333333333334,0.92538453540902,0.976271186440678,0,1,6
ByteTrack,single_threat,0,0.9733333333333334,0.8580472299492736,0.9868421052631579,0,4,0
IMM-Kalman,single_threat,0,0.9866666666666667,0.8109626284579423,0.9933774834437086,0,2,0
DeepSORT,single_threat,0,0.8333333333333334,0.8145365062692096,0.20189274447949526,6,18,1
Celik-Kubbe,multi_threat,0,0.6675257731958764,0.8001176486347836,0.8304862023653088,0,57,72
ByteTrack,multi_threat,0,-1.6597938144329896,0.8133010126364522,0.22141296431172613,37,796,199
IMM-Kalman,multi_threat,0,-0.7603092783505154,0.7780546185609626,0.296875,37,447,199
DeepSORT,multi_threat,0,-0.030927835051546282,0.8083177873422627,0.0975609756097561,7,157,236
Celik-Kubbe,sensor_dropout,0,0.538659793814433,0.797288263479201,0.7402031930333817,0,46,133
ByteTrack,sensor_dropout,0,-1.365979381443299,0.8145516533407089,0.1315570358034971,25,659,234
IMM-Kalman,sensor_dropout,0,-0.5850515463917525,0.7857449291271852,0.1759465478841871,25,356,234
DeepSORT,sensor_dropout,0,0.04123711340206182,0.8135533621206011,0.1073170731707317,7,102,263
Celik-Kubbe,low_snr,0,0.7857142857142857,0.8511427326232721,0.8907922912205567,0,21,30
ByteTrack,low_snr,0,-0.6722689075630253,0.8636795577610135,0.4265536723163842,8,311,79
IMM-Kalman,low_snr,0,-0.07563025210084029,0.814432282414839,0.5335689045936396,8,169,79
DeepSORT,low_snr,0,0.3571428571428571,0.8494909101398455,0.14382022471910114,6,58,89
Celik-Kubbe,single_threat,1,0.9444444444444444,0.8872431366235265,0.9714285714285714,0,0,8
ByteTrack,single_threat,1,0.6527777777777778,0.770038021402833,0.6645569620253164,6,36,8
IMM-Kalman,single_threat,1,0.7847222222222222,0.736909410302719,0.7759197324414716,2,20,9
DeepSORT,single_threat,1,0.5486111111111112,0.729672581240288,0.19937694704049844,10,44,11
Celik-Kubbe,multi_threat,1,0.7952127659574468,0.8187902051449666,0.8949522510231923,0,29,48
ByteTrack,multi_threat,1,-0.9335106382978724,0.7833926519417413,0.3444730077120823,26,558,143
IMM-Kalman,multi_threat,1,-0.35904255319148937,0.7470397002359861,0.4136460554371002,27,335,149
DeepSORT,multi_threat,1,0.12234042553191493,0.7643426121907778,0.17103448275862068,13,145,172
Celik-Kubbe,sensor_dropout,1,0.864516129032258,0.8783836901126415,0.9292929292929293,0,4,17
ByteTrack,sensor_dropout,1,0.40645161290322585,0.7796804973354668,0.6811989100817438,5,72,15
IMM-Kalman,sensor_dropout,1,0.5935483870967742,0.7393050993949455,0.7559523809523809,3,43,17
DeepSORT,sensor_dropout,1,0.11612903225806448,0.7440512086033683,0.09549071618037135,16,94,27
Celik-Kubbe,low_snr,1,0.9444444444444444,0.8872431366235265,0.9714285714285714,0,0,8
ByteTrack,low_snr,1,0.6527777777777778,0.770038021402833,0.6645569620253164,6,36,8
IMM-Kalman,low_snr,1,0.7847222222222222,0.736909410302719,0.7759197324414716,2,20,9
DeepSORT,low_snr,1,0.5486111111111112,0.729672581240288,0.19937694704049844,10,44,11
Celik-Kubbe,single_threat,2,0.5964912280701755,0.6994695282876777,0.7927927927927928,0,10,13
ByteTrack,single_threat,2,-3.6315789473684212,0.6856083646373181,0.007326007326007326,7,208,49
IMM-Kalman,single_threat,2,-1.736842105263158,0.6856083646373188,0.012121212121212121,7,100,49
DeepSORT,single_threat,2,0.0,,0.0,0,0,57
Celik-Kubbe,multi_threat,2,0.7704918032786885,0.746129269245597,0.8823529411764706,0,22,34
ByteTrack,multi_threat,2,-3.1557377049180326,0.6433503455583339,0.007326007326007326,64,777,173
IMM-Kalman,multi_threat,2,-1.69672131147541,0.642809720389556,0.010869565217391304,64,421,173
DeepSORT,multi_threat,2,-0.6024590163934427,0.6418440000843604,0.004901960784313725,15,148,228
Celik-Kubbe,sensor_dropout,2,0.5789473684210527,0.7037495455505178,0.7818181818181819,0,10,14
ByteTrack,sensor_dropout,2,-3.56140350877193,0.6854076061675414,0.007434944237918215,7,204,49
IMM-Kalman,sensor_dropout,2,-1.7017543859649122,0.685407606167542,0.012269938650306749,7,98,49
DeepSORT,sensor_dropout,2,0.0,,0.0,0,0,57
Celik-Kubbe,low_snr,2,0.5964912280701755,0.6994695282876777,0.7927927927927928,0,10,13
ByteTrack,low_snr,2,-3.6315789473684212,0.6856083646373181,0.007326007326007326,7,208,49
IMM-Kalman,low_snr,2,-1.736842105263158,0.6856083646373188,0.012121212121212121,7,100,49
DeepSORT,low_snr,2,0.0,,0.0,0,0,57
Celik-Kubbe,single_threat,3,,,,0,0,0
ByteTrack,single_threat,3,,,,0,0,0
IMM-Kalman,single_threat,3,,,,0,0,0
DeepSORT,single_threat,3,,,,0,0,0
